Sample,Family ID,Population,Population Description
HG01170,PR24,PUR,Puerto Rican in Puerto Rico
HG01171,PR24,PUR,Puerto Rican in Puerto Rico
HG01172,PR24,PUR,Puerto Rican in Puerto Rico
HG01173,PR36,PUR,Puerto Rican in Puerto Rico
HG01174,PR36,PUR,Puerto Rican in Puerto Rico
HG01175,PR36,PUR,Puerto Rican in Puerto Rico
HG01176,PR42,PUR,Puerto Rican in Puerto Rico
HG01177,PR42,PUR,Puerto Rican in Puerto Rico
HG01178,PR42,PUR,Puerto Rican in Puerto Rico
HG01182,PR44,PUR,Puerto Rican in Puerto Rico
HG01183,PR44,PUR,Puerto Rican in Puerto Rico
HG01184,PR44,PUR,Puerto Rican in Puerto Rico
HG01187,PR38,PUR,Puerto Rican in Puerto Rico
HG01188,PR38,PUR,Puerto Rican in Puerto Rico
HG01189,PR38,PUR,Puerto Rican in Puerto Rico
HG01190,PR40,PUR,Puerto Rican in Puerto Rico
HG01191,PR40,PUR,Puerto Rican in Puerto Rico
HG01192,PR40,PUR,Puerto Rican in Puerto Rico
HG01195,PR45,PUR,Puerto Rican in Puerto Rico
HG01197,PR46,PUR,Puerto Rican in Puerto Rico
HG01198,PR46,PUR,Puerto Rican in Puerto Rico
HG01199,PR46,PUR,Puerto Rican in Puerto Rico
HG01200,PR47,PUR,Puerto Rican in Puerto Rico
